,날짜,종가,등락율
169,2000-09-14,4710,-3.48
170,2000-09-15,4350,-7.64
171,2000-09-18,3970,-8.74
172,2000-09-19,4160,4.79
173,2000-09-20,4600,10.58
174,2000-09-21,4400,-4.35
175,2000-09-22,3800,-13.64
176,2000-09-25,4090,7.63
177,2000-09-26,4000,-2.2
178,2000-09-27,4030,0.75
179,2000-09-28,4060,0.74
180,2000-09-29,4040,-0.49
181,2000-10-02,3810,-5.69
182,2000-10-04,3890,2.1
183,2000-10-05,3940,1.29
184,2000-10-06,3900,-1.02
185,2000-10-09,3690,-5.38
186,2000-10-10,3660,-0.81
187,2000-10-11,3220,-12.02
188,2000-10-12,3140,-2.48
189,2000-10-13,3030,-3.5
190,2000-10-16,3160,4.29
191,2000-10-17,2740,-13.29
192,2000-10-18,2730,-0.36
193,2000-10-19,2900,6.23
194,2000-10-20,3330,14.83
195,2000-10-23,3200,-3.9
196,2000-10-24,3340,4.37
197,2000-10-25,3210,-3.89
198,2000-10-26,2890,-9.97
199,2000-10-27,2840,-1.73
200,2000-10-30,2750,-3.17
201,2000-10-31,2850,3.64
202,2000-11-01,3260,14.39
203,2000-11-02,3320,1.84
204,2000-11-03,3440,3.61
205,2000-11-06,3510,2.03
206,2000-11-07,3440,-1.99
207,2000-11-08,3410,-0.87
208,2000-11-09,3400,-0.29
209,2000-11-10,3380,-0.59
210,2000-11-13,3150,-6.8
211,2000-11-14,3290,4.44
212,2000-11-15,3390,3.04
213,2000-11-16,3280,-3.24
214,2000-11-17,3220,-1.83
215,2000-11-20,3100,-3.73
216,2000-11-21,3160,1.94
217,2000-11-22,3140,-0.63
218,2000-11-23,3210,2.23
219,2000-11-24,3400,5.92
220,2000-11-27,3780,11.18
221,2000-11-28,3520,-6.88
222,2000-11-29,3220,-8.52
223,2000-11-30,3240,0.62
224,2000-12-01,3180,-1.85
225,2000-12-04,3100,-2.52
226,2000-12-05,3240,4.52
227,2000-12-06,3210,-0.93
228,2000-12-07,3260,1.56
229,2000-12-08,3370,3.37
230,2000-12-11,3580,6.23
231,2000-12-12,3500,-2.23
232,2000-12-13,3780,8.0
233,2000-12-14,3620,-4.23
234,2000-12-15,3490,-3.59
235,2000-12-18,3560,2.01
236,2000-12-19,3530,-0.84
237,2000-12-20,3340,-5.38
238,2000-12-21,3240,-2.99
239,2000-12-22,3140,-3.09
240,2000-12-26,3160,0.64
241,2001-01-02,3350,6.01
242,2001-01-03,3370,0.6
243,2001-01-04,3780,12.17
244,2001-01-05,3900,3.17
245,2001-01-08,3880,-0.51
246,2001-01-09,3840,-1.03
247,2001-01-10,3710,-3.39
248,2001-01-11,3640,-1.89
249,2001-01-12,3840,5.49
250,2001-01-15,3920,2.08
251,2001-01-16,4140,5.61
252,2001-01-17,4220,1.93
253,2001-01-18,4400,4.27
254,2001-01-19,4600,4.55
255,2001-01-22,4550,-1.09
256,2001-01-26,3980,-12.53
257,2001-01-29,4020,1.01
258,2001-01-30,4110,2.24
259,2001-01-31,4400,7.06
260,2001-02-01,4270,-2.95
261,2001-02-02,4290,0.47
262,2001-02-05,4030,-6.06
263,2001-02-06,4010,-0.5
264,2001-02-07,3900,-2.74
265,2001-02-08,4060,4.1
266,2001-02-09,4070,0.25
267,2001-02-12,3970,-2.46
268,2001-02-13,3980,0.25
269,2001-02-14,3980,0.0
270,2001-02-15,4130,3.77
271,2001-02-16,4250,2.91
272,2001-02-19,4190,-1.41
273,2001-02-20,4240,1.19
274,2001-02-21,4160,-1.89
275,2001-02-22,4010,-3.61
276,2001-02-23,3840,-4.24
277,2001-02-26,3840,0.0
278,2001-02-27,3790,-1.3
279,2001-02-28,3740,-1.32
280,2001-03-02,3610,-3.48
